Priority,Company,Segment,Region,Website,Phone,Email,Notes
A,Earth Stone & Tile Inc.,Slab wholesale distributor,"Pennsauken, NJ",https://earthstoneinc.com,856-661-1777,TBV,"Family-owned importer/distributor; granite, marble, quartzite, quartz, porcelain; 25,000 SF slabyard; 20+ yrs"
A,Stone Park USA,Slab importer/wholesaler,"Philadelphia metro (PA/NJ/DE/MD/NY/DC/VA)",https://stoneparkusa.com,TBV,TBV,Large importer; delivers across mid-Atlantic
A,Venezia Surfaces,Slab importer/distributor,NJ / Mid-Atlantic,https://www.veneziasurfaces.com,TBV,TBV,"Imported natural stone + quartz, multiple countries"
A,Reliance Surfaces,Slab distributor,NJ / NY,https://reliancesurfaces.com,TBV,TBV,Engineered + natural stone supplier
B,Krish International,Marble/quartz wholesale,New York,https://thekrishinternational.com,TBV,TBV,Quartzite/marble importer
B,UMI Stone,Stone wholesale,US,https://umistone.com,TBV,TBV,Quartz/granite/natural stone wholesale
B,US Stone Supply,Slab wholesale,South Florida,https://usstonesupply.com,TBV,TBV,"Natural stone, quartz, porcelain wholesale, open to public"
B,Exotic Stone Imports,Slab wholesale,"Atlanta, GA",https://exoticstoneimports.com,TBV,TBV,Wholesale countertop slabs
B,Stone Depot USA,Quartz wholesale,Texas,https://www.stonedepotus.com,TBV,TBV,Wholesale quartz slabs
B,Stone Basyx,Slab distributor,"NC / Southeast",https://stonebasyx.com,TBV,TBV,Live inventory system; multiple branches
A,GraniteTops,Fabricator (volume buyer),"Roselle, NJ",https://granitetops.com,TBV,TBV,Direct importer-fabricator; discount buyer for bulk slabs
B,New Granite & Marble,Fabricator,NJ/NY/CT,https://www.newgranitemarble.com,TBV,TBV,Quartz/porcelain fabricator
B,Quality Granite & Cabinets,Fabricator,NJ/NY/PA/CT,https://www.directmarblegranite.com,TBV,TBV,1500+ slab colors; volume fabricator
B,Mega Marble,Fabricator,NY/CT/NJ,https://megamarble.com,TBV,TBV,Kitchen countertop fabricator
