Rank,Site,DepositType,KeyResults,LicenseNo,PriorityRating,Notes
1,Erzurum / Ispir,Cu Sulfide / Porphyry Cu,"5.08% Cu rock sample + Cu anomaly in 77% of stream samples; 2690 ppm As; 188 ppm Sb",202300537,5/5,
2,Balikesir / Kayaeli,Epithermal Ag-Pb-Zn + Ni-Co Sulfide,"110 ppm Ag stream (exceptional); 1936 ppm Zn + 500 ppm Pb; 89% Ni anomaly consistency",202300781,5/5,
3,Kastamonu / Taskopru,Cu-Zn Massive Sulfide,"Cu anomaly in 100% of stream samples (29/29); 215.6 ppm Pb + 283.3 ppm Zn max",202300794,5/5,
4,Tokat / Turhal,Epithermal Au-Cu,"1.75 ppm Au rock + 0.64 ppm Au stream; 69.4 ppm Mo; malachite-bearing quartzite",,4/5,
5,Kirsehir / Cicekdagi,Porphyry / Epithermal,"4265 ppm Bi + 1277 ppm Mo rock",,4/5,
6,Adiyaman / Kocali,Ni-Cu-Co Mafic,"88% Cu+Ni+Co triple anomaly",,4/5,
7,Mersin / Toros,Zn-Pb MVT Carbonate,"93% Ni + 71% Zn stream anomaly",,3/5,
8,Ordu / Mesudiye,VMS Fe-Cu-Zn,"93% Fe + 67% Cu stream anomaly",,3/5,
9,Amasya / Hamamozu,Epithermal Hg-Au,"32% Hg anomaly + 0.7 ppm Ag",,3/5,
10,Malatya / Puturge,IOCG / Skarn Fe-Zn,"48% Fe rock + 56% Zn stream",,3/5,
11,TBD (see full ULTIMA report),,,,,Sites 11-13 in full report PDF - extract Sunday
12,TBD (see full ULTIMA report),,,,,
13,TBD (see full ULTIMA report),,,,,
