Category,Product,Origin,Size,Pcs,UnitCost_Actual,ListA_Jan2025,ListB_Jun2025,Notes
Porcelain 5mm,CALACATA PULIDO,SPAIN,260X120X5,52,,158,290,
Porcelain 5mm,CORINTO PULIDO,SPAIN,260X120X5,39,,158,290,
Porcelain 5mm,NERO ARDI,SPAIN,260X120X5,13,,158,290,
Porcelain 5mm,CARRARA NATURAL,SPAIN,260X120X5,13,,158,290,
Porcelain 5mm,ICEBERG,SPAIN,260X120X5,26,,158,290,
Porcelain 5mm,CARRARA GLOSSY,SPAIN,260X120X5,26,,158,290,
Porcelain 5mm,MARQUINA PLUDO,SPAIN,260X120X5,6,,158,290,
Porcelain 5mm,DISTRITO IRON,SPAIN,260X120X5,12,,158,290,
Porcelain 5mm,DISTRITO ALU,SPAIN,260X120X5,13,,158,290,
Porcelain 5mm,TACO PALADIO,SPAIN,260X120X5,6,,158,290,
Porcelain 5mm,WHITE GLOSSY,SPAIN,260X120X5,6,,158,290,
Porcelain 5mm,WHITE NAT,SPAIN,260X120X5,7,,158,290,
Porcelain 5mm,GUARZO RENO GLOSSY,SPAIN,260X120X5,13,,158,290,
Porcelain 12mm,PALADIO POLIDO,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,PALADIO NAT,SPAIN,3240X1620X12,3,,432,650,
Porcelain 12mm,ICEBERG PUL,SPAIN,3240X1620X12,5,,432,650,
Porcelain 12mm,DISTRITO ALU,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,BASALTINA NEGRO,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,DUAMO,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,ICEBERG,SPAIN,3240X1620X12,20,,432,650,
Porcelain 12mm,CORINTO,SPAIN,3240X1620X12,11,,432,650,
Porcelain 12mm,PALADIO MARRON,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,NERO ARDI NAT,SPAIN,3240X1620X12,8,,432,650,
Porcelain 12mm,CALACATA POLIDO,SPAIN,3240X1620X12,6,,432,650,
Porcelain 12mm,CALACATA NAT,SPAIN,3240X1620X12,10,,432,650,
Porcelain 12mm,ESTATUARIO PULIDO,SPAIN,3240X1620X12,40,,432,650,
Porcelain 12mm,MAMA GRIS,SPAIN,3240X1620X12,6,,432,650,
Porcelain 12mm,CUARZO RENO,SPAIN,3240X1620X12,11,,432,650,
